x_uk	x_O0C_rate	합계 : PP_wTx	합계 : PP_cnt_plus 	합계 : PP_cnt_minus 	합계 : PR_sum_rate	합계 : PR_cnt_rate	 score 
5-15	0.24-0.25	9.47	1	0	#DIV/0!	#DIV/0!	#DIV/0!
5-15	0.26-0.27	59.48	4	0	#DIV/0!	#DIV/0!	#DIV/0!
5-15	0.27-0.28	17.17	1	0	#DIV/0!	#DIV/0!	#DIV/0!
5-15	0.28-0.29	16.77	1	0	#DIV/0!	#DIV/0!	#DIV/0!
5-15	>0.3	21.71	3	0	#DIV/0!	#DIV/0!	#DIV/0!
15-25	0.23-0.24	56.83	4	0	#DIV/0!	#DIV/0!	#DIV/0!
15-25	0.25-0.26	16.78	4	0	#DIV/0!	#DIV/0!	#DIV/0!
15-25	0.28-0.29	7.77	1	0	#DIV/0!	#DIV/0!	#DIV/0!
15-25	>0.3	18.99	2	0	#DIV/0!	#DIV/0!	#DIV/0!
25-35	0.23-0.24	37.51	3	0	#DIV/0!	#DIV/0!	#DIV/0!
25-35	0.28-0.29	1.27	1	0	#DIV/0!	#DIV/0!	#DIV/0!
25-35	>0.3	25.97	1	0	#DIV/0!	#DIV/0!	#DIV/0!
35-45	0.25-0.26	103.06	8	0	#DIV/0!	#DIV/0!	#DIV/0!
35-45	0.27-0.28	14.87	1	0	#DIV/0!	#DIV/0!	#DIV/0!
45-55	0.19-0.2	11.89	2	0	#DIV/0!	#DIV/0!	#DIV/0!
55-65	0.27-0.28	12.39	2	0	#DIV/0!	#DIV/0!	#DIV/0!
65-75	0.23-0.24	26.36	3	0	#DIV/0!	#DIV/0!	#DIV/0!
65-75	0.26-0.27	47.55	5	0	#DIV/0!	#DIV/0!	#DIV/0!
65-75	0.28-0.29	9.17	1	0	#DIV/0!	#DIV/0!	#DIV/0!
75-85	0.27-0.28	29.06	3	0	#DIV/0!	#DIV/0!	#DIV/0!
85-95	0.24-0.25	32.82	6	0	#DIV/0!	#DIV/0!	#DIV/0!
85-95	0.27-0.28	18.79	2	0	#DIV/0!	#DIV/0!	#DIV/0!
85-95	0.29-0.3	17.97	1	0	#DIV/0!	#DIV/0!	#DIV/0!
95-105	0.19-0.2	26.57	6	0	#DIV/0!	#DIV/0!	#DIV/0!
105-115	0.2-0.21	18.84	2	0	#DIV/0!	#DIV/0!	#DIV/0!
105-115	0.22-0.23	41.31	3	0	#DIV/0!	#DIV/0!	#DIV/0!
105-115	0.25-0.26	44.98	9	0	#DIV/0!	#DIV/0!	#DIV/0!
125-135	0.18-0.19	20.97	1	0	#DIV/0!	#DIV/0!	#DIV/0!
125-135	0.24-0.25	25.45	5	0	#DIV/0!	#DIV/0!	#DIV/0!
125-135	0.27-0.28	1.92	1	0	#DIV/0!	#DIV/0!	#DIV/0!
125-135	0.28-0.29	13.44	2	0	#DIV/0!	#DIV/0!	#DIV/0!
145-155	0.2-0.21	5.12	1	0	#DIV/0!	#DIV/0!	#DIV/0!
145-155	0.24-0.25	13.61	3	0	#DIV/0!	#DIV/0!	#DIV/0!
145-155	0.27-0.28	15.19	2	0	#DIV/0!	#DIV/0!	#DIV/0!
